Course code,Average,Standard Deviation,min,max
POLI 350,88,4,82,94
PHAR 420,75,20,0,100
ANAT 548,72,13,0,100
VISA 321,80,6,50,90
GEOB 402,82,11,26,95
GEOG 374,86,9,50,98
FRST 544,80,6,65,92
FIPR 338,79,3,74,83
SOWK 335,82,6,68,92
FIPR 434,77,10,49,93
ENGL 318,77,9,50,90
PORT 201,81,7,60,94
CHBE 597,84,8,52,94
BAMA 514,78,6,52,93
ENGL 512,80,11,37,97
FRST 443,76,10,41,96
APSC 183,76,8,50,90
URST 200,80,11,52,97
OBST 549,82,5,72,92
CRWR 307,83,6,61,92
CHEM 304,79,9,51,93
CPEN 311,79,14,37,98
MUSC 358,76,11,56,95
MINE 393,75,9,60,90
CRWR 509,66,12,46,93
PHIL 310,74,15,50,95
EPSE 421,85,9,58,99
GEOG 533,78,9,55,93
PHIL 369,81,10,65,95
MTRL 359,70,7,50,86
CNPS 365,65,13,40,89
CHEM 449,84,5,76,88
PSYC 217,87,3,83,92
COMM 415,85,2,82,88
FOOD 515,86,1,85,87
ELEC 371,82,5,75,91
CLST 512,78,6,64,88
APBI 328,82,4,76,86
CIVL 565,85,6,76,93
JAPN 456,81,6,68,90
ASTR 205,80,4,72,86
SPPH 568,78,7,55,90
ISCI 361,78,7,55,90
ECON 526,78,5,64,91
LLED 572,82,5,70,90
ISCI 448,82,4,74,87
CIVL 498,81,4,74,88
CIVL 524,79,3,74,85
MTRL 515,79,11,12,93
ELEC 281,78,4,76,92
MATH 544,85,6,70,90
ENGL 365,79,8,52,90
ENGL 377,79,5,71,90
SOCI 301,80,6,69,92
THTR 471,78,4,74,90
SOCI 383,81,6,70,92
MATH 441,79,6,74,95
BAMS 508,83,5,72,90
ECON 499,80,7,65,88
PSYC 545,77,4,73,86
STAT 203,78,7,55,88
MICB 506,80,6,68,88
ENGL 530,80,5,65,90
GEOB 207,77,6,68,86
ARTH 338,77,10,4,91
ARTH 340,78,5,60,91
STAT 344,79,11,10,92
SOCI 360,78,6,64,92
MICB 418,78,7,51,87
SPAN 358,77,6,60,95
COMM 298,80,11,0,90
ASIA 345,76,9,35,93
EOSC 470,75,11,0,93
EDCP 544,74,5,70,87
CNRS 500,78,8,47,94
PHYS 312,78,11,1,93
BIOL 111,77,10,12,96
POLI 341,75,9,0,88
ASIA 394,71,3,77,88
POLS 426,83,5,71,88
SCIE 420,82,3,81,90
FRST 424,86,3,78,88
APBI 244,84,9,30,92
BASC 500,82,9,44,93
LIBR 504,77,9,44,93
ECON 328,77,6,70,90
SWED 110,77,9,62,98
CIVL 538,79,8,56,90
PSYC 594,81,3,77,88
ISCI 330,71,5,71,91
EECE 500,83,8,56,96
CAPS 424,81,11,50,98
VISA 350,80,9,50,93
HIST 414,77,10,50,92
POLI 110,83,7,53,92
FRST 492,72,11,6,90
MINE 333,84,3,81,89
ASIA 576,72,7,68,95
ELEC 574,86,1,85,89
DENT 420,84,6,76,95
BIOL 336,86,5,65,89
CHIN 443,86,1,86,90
ASIA 428,83,1,88,89
APSC 366,87,5,72,86
HIST 561,88,6,74,92
BIOL 427,81,20,22,94
ARTH 226,85,5,84,97
WOOD 225,82,24,31,93
CRWR 356,89,7,80,98
CIVL 204,81,5,79,95
NAME 522,93,4,83,95
MATH 444,88,3,77,91
RHSC 500,88,5,71,91
HIST 250,86,3,82,94
BABS 506,85,5,71,91
DENT 540,87,2,82,89
PATH 301,85,5,71,91
MECH 431,86,2,82,89
HGSE 358,85,11,70,99
LING 432,86,12,51,97
POLI 370,87,1,88,90
BAIT 507,90,4,85,95
EOSC 449,89,12,62,92
SOCI 441,91,9,55,97
RELG 201,76,11,55,94
BAMA 550,86,5,70,91
CIVL 425,82,5,70,91
PSYC 525,82,6,78,96
ARCH 437,82,7,69,94
COMM 387,82,11,56,85
ASIA 362,88,5,80,94
PHRM 111,82,5,80,95
LLED 489,72,6,74,96
MICB 447,88,2,81,88
HIST 105,87,2,80,87
GERM 314,88,2,81,88
GEOB 305,85,2,80,87
ASIA 301,84,2,81,88
MATH 256,85,2,80,87
COMM 321,84,2,81,88
ARTH 448,85,10,64,100
ANTH 500,84,9,64,96
PATH 635,85,4,74,90
ECON 326,90,6,74,94
ARTH 345,82,18,25,87
EPSE 483,84,20,11,93
ARCH 505,84,11,51,100
ASIA 521,71,9,56,90
MECH 375,72,3,81,92
APSC 377,84,4,82,96
MECH 536,75,7,65,89
LATN 202,86,9,57,87
THTR 352,89,13,19,96
CPSC 425,83,4,81,92
CNPS 524,74,5,76,90
